"subject","body","email_type","priority"
"Quarterly planning sync","Can we meet Friday at 10 to review quarterly goals owners and next steps","meeting","medium"
"Project kickoff agenda","Sharing the agenda for the kickoff call with milestones roles and decision points","meeting","medium"
"Interview debrief today","Please join the debrief after the candidate call so we can decide next steps","meeting","high"
"One on one reschedule","I need to move our one on one to next week because of a calendar conflict","meeting","low"
"Limited time upgrade","Upgrade today to unlock advanced reporting faster exports and priority service","sales","medium"
"New product demo","Our team can show how the platform saves time for your outbound email workflow","sales","medium"
"Special discount expires","Your discount expires tonight and this is the last chance to claim the offer","sales","high"
"Customer success package","We prepared a package that can improve deliverability onboarding and account growth","sales","low"
"Login issue needs help","A customer cannot log in and needs account access restored before their presentation","support","high"
"Attachment upload failure","The upload button fails when the file is larger than expected and returns an error","support","medium"
"SMTP connection error","Email sending fails with an SMTP authentication error after password rotation","support","high"
"Question about settings","Can you explain where to update sender name timezone and notification preferences","support","low"
"Invoice due reminder","Your invoice is due this week and payment can be made from the billing portal","billing","medium"
"Payment failed today","The latest card payment failed and the account may be paused if unresolved today","billing","high"
"Receipt for subscription","Here is the receipt for your monthly subscription renewal and tax records","billing","low"
"Plan changed confirmation","Your billing plan was changed successfully and the new amount starts next cycle","billing","medium"
"Submit report by noon","Please submit the weekly status report by noon so leadership can review it","reminder","high"
"Friendly follow up","Following up on the draft I sent last week whenever you have a moment","reminder","low"
"Renewal reminder","Your annual renewal date is coming soon and we need confirmation this month","reminder","medium"
"Action items due","Several action items are due tomorrow and need owners before the planning meeting","reminder","high"
"Weekly product newsletter","Read this week release notes customer stories and useful articles from our team","newsletter","low"
"May engineering digest","The latest digest includes platform updates roadmap notes and community highlights","newsletter","low"
"Tips for better scheduling","Five practical tips to schedule messages improve timing and reduce missed follow ups","newsletter","low"
"Company announcement","This month newsletter covers hiring milestones events and upcoming feature previews","newsletter","medium"
"Dinner plans","Are you free this weekend for dinner and a quick catch up downtown","personal","low"
"Birthday note","Happy birthday and I hope your day is relaxing fun and full of good surprises","personal","low"
"Family travel update","Our flight lands Saturday afternoon and we will call when we are on the way","personal","medium"
"Urgent family call","Please call me as soon as possible because I need to talk through something important","personal","high"
"Security alert","We detected a suspicious login attempt and recommend changing your password immediately","security","high"
"New device sign in","A new device signed in to your account from a location we have not seen before","security","high"
"Password changed","Your password was changed successfully and no further action is required if this was you","security","medium"
"Two factor reminder","Enable two factor authentication to add another layer of protection to your account","security","low"
